pft,n
bryo,525
duff,525
Dwarf_Sh,79
forb,525
gram,525
lichen,525
Low_Shru,79
Mid_Tall,79
rock,525
shrub,446
soil,525
subshrub,446
Tall_Shr,79
tree,525
water,525
