plot,bryophyte,duff,dwarf_shrub,forb,graminoid,lichen,low_shrub,rock,soil,tall_shrub,tree,water
Acid123,10,0.5,45,1,0.5,10,0.25,50,0,3,0,0
Acid155,0.5,0,0.5,0,0,0.5,0,99,0,0,0,0
Acid174,5,0,0.5,0.5,0.5,3,10,85,0.5,0.5,0,0
Acid18,35,0.5,10,1,0.5,10,0,45,0,0,0,0
Acid187,0.5,0.5,15,0.5,0,0.5,0.5,85,1,0,0,0
Acid191,0.5,0,0.5,1,0.5,0.5,0,99,0,0,0,0
Acid70,0.5,0.5,0,0.5,0.5,3,0,95,0.5,0,0,0
Acid91,3,0.5,10,0,0.5,0.5,0,85,3,0,0,0
Alder1,3,0.5,25,99,0.5,0.5,5,0,0.5,90,0.5,0
Alder28,1,0.25,0.5,1,0.25,0.25,0.5,0,0,80,15,0.25
Alder5,1,10,0,3,0.5,0.5,10,10,0,95,1,0
Alder59,0.5,1,0.5,20,10,0.5,3,0,0,97,0.25,0
Basic10,0.5,0.5,1,0.5,0.5,20,0.5,95,0,0,0,0
Basic11,0.5,0,0,0,0,30,0,99,0,0,0,0
Basic17,0.5,0,1,0.5,0.5,30,0,99,0,0,0,0
Basic18,0.5,0.5,25,0,0.5,0.5,0,70,5,0,0,0.5
Basic23,0.25,0,3,0.25,0.25,0.5,0,95,0,0.25,0.25,0
Basic3,0.5,0.5,50,0.5,0.5,10,0.25,40,0,0.25,0.25,0
Basic32,0,1,60,3,10,25,0,30,0,0,0.5,0
Basic34,1,0.5,35,1,0.5,1,1,30,5,5,0.5,0
Basic6,0.5,0.5,45,1,0.5,3,0.5,15,35,0.5,0,0
Decid11,0.5,1,3,3,3,0.5,30,1,0,25,45,0
Decid4,70,3,0.5,20,10.5,1,0.5,0.5,0.5,55,40,0.5
Dwarf101,3,0.5,60,1,0.5,0.5,0,20,5,0,0,0
Dwarf107,0.5,1,75,0,0.5,0.5,0.5,25,30,0,0,0
Dwarf123,1,1,75,0.5,10,10,0.5,0.5,0.5,0.5,0,0
Dwarf14,5,0.5,60,5,1,3,0,25,0.5,0,0,0
Dwarf17,10,3,65,3,0.5,5,0.5,10,0.5,0,0,0
Dwarf18,5,5,45,0.5,0.5,5,0,45,0,0,0,0
Dwarf19,15,5,75,1,5,1,0.5,0.5,0.5,0,0,0.5
Dwarf2,0.5,0.5,20,0.5,5,40,0.5,35,0,0,0.25,0
Dwarf20,1,5,75,3,1,10,0,3,0,0,0,0
Dwarf29,25,0.5,20,0.5,40,1,0,20,1,0,0,0.5
Dwarf39,50,5,40,3,10,0.5,0,0.5,0.5,0.5,0,0.5
Dwarf68,15,1,60,0.5,10,1,0.5,10,0.5,0.5,0,0.5
Dwarf83,20,0.5,35,0.5,40,1,0.5,3,1,0,0,0.5
Dwarf88,3,1,65,0.5,20,1,10,1,0.5,0,0,0
Lowerc88,10,5,30,30,25,1,0.5,1,0.5,0,0,3
Loweric6,55,1,35,5,1,5,3,0,0,0,0,0
Lowrc149,30,3,3,0.5,40,0.5,80,0,1,3,0,0
Lowrc34,20,5,15,0.5,30,0.5,65,0.5,0.5,0.5,0,0.5
Lowrc39,5,0.25,10,0.25,60,3,20,0,0,0,0.25,0
Lowrc43,55,0,10,1,65,3,25,0,0,1,15,0.5
Lowrc45,25,1,0,0.5,40,0.5,75,0,0.5,0,0,0.5
Lowrc48,1,0.25,5,0.25,65,3,45,0,0,0.25,1,0
Lowrc60,30,0.5,45,3,20,3,10,0.5,1,0,0,0
Mafic10,0.5,0.5,30,0.5,0.5,0.5,1,65,0,0,0.5,0
Mafic11,0.5,0,15,0.5,0,0.5,0.5,80,1,0.5,0,0
Mafic19,0.25,0.25,0.5,0.5,0.25,0.25,10,85,0,1,0.5,0
Mafic2,0.5,0,0,0.5,0,0.5,0,99,0,0,0,0
Mafic31,0.5,0.5,15,25,0.5,0.5,10,50,1,0.5,0,0
Mafic7,0.25,0,0,0.25,0,0.25,0,99,0,0.25,0,0
Mafic8,60,0.25,1,0.5,0.25,0.5,5,90,0,0,0,0
Needl101,10,0.5,0.5,3,3,1,30,0.5,0,70,45,0
Needl200,30,0.5,0.5,1,5,10,85,0,0.5,25,55,0
Needle21,60,0.25,5,0.5,0.5,0.5,30,0,0,25,30,0
Needle36,0.5,0.25,60,3,10,1,65,0.25,0,50,35,0
Needle4,20,3,0.5,5,0.5,0.5,30,0,0,95,45,0
Needle6,1,0,35,5,3,3,25,0.25,0,20,35,0
Needle60,75,0.25,90,1,0.5,30,95,0.25,0,60,25,0
Needle65,60,0.5,20,20,1,10,15,0,0,25,25,0
Needle7,1,0.5,10,5,0.5,15,60,0.5,0,60,35,1
Needle84,40,0.5,35,55,5,0.5,10,0.5,1,20,10,0
Tusck10,20,3,3,1,50,1,35,0.5,0.5,5,0,0.5
Tusck14,10,0.5,0,0.5,80,0.5,15,0,0.5,0,0,0.5
Tusck27,3,0.5,40,1,20,1,30,0.5,0.5,0,0,0
Tusck44,25,0.5,1,0.5,60,0.5,75,0,1,0.5,0,0.5
Tusck48,25,0.5,40,0.5,40,1,5,0.5,0.5,0,0,0
Tusck53,50,0.5,10,0.5,30,0.5,75,0.5,0.5,0,0,0.5
Tusck59,15,0.5,10,0.5,70,3,20,0,0.5,0.5,0,0.5
Tusck73,1,0.5,35,1,1,15,35,10,5,0,0,0
Tussock5,30,1,15,55,40,0.5,15,0,1,0,0,0.5
