"","plot","long","lat","samp_date","src_data"
"1","Acid1",-150.421579,68.04765,2012-07-25,"ARCN FIA plot"
"2","Acid123",-154.639125,67.200064,2012-07-06,"ARCN FIA plot"
"3","Acid141",-150.530551,67.729479,2012-07-19,"ARCN FIA plot"
"4","Acid148",-154.613435,68.343623,2012-08-11,"ARCN FIA plot"
"5","Acid155",-154.63249,68.339265,2012-08-12,"ARCN FIA plot"
"6","Acid174",-155.571803,67.958701,2012-08-04,"ARCN FIA plot"
"7","Acid18",-150.415726,68.06361,2012-07-25,"ARCN FIA plot"
"8","Acid187",-150.507102,67.742953,2012-07-19,"ARCN FIA plot"
"9","Acid191",-150.548102,68.050502,2012-07-23,"ARCN FIA plot"
"10","Acid6",-153.199695,67.88561,2012-08-10,"ARCN FIA plot"
"11","Acid70",-150.504191,68.089745,2012-07-26,"ARCN FIA plot"
"12","Acid91",-154.658217,68.340994,2012-08-12,"ARCN FIA plot"
"13","Alder1",-154.640143,67.187954,2012-07-06,"ARCN FIA plot"
"14","Alder19",-155.437668,67.980597,2012-08-05,"ARCN FIA plot"
"15","Alder28",-154.544579,67.174809,2012-07-03,"ARCN FIA plot"
"16","Alder5",-153.03447,67.406899,2012-08-21,"ARCN FIA plot"
"17","Alder59",-154.511817,67.220283,2012-07-05,"ARCN FIA plot"
"18","Basic10",-155.466718,67.988193,2012-08-01,"ARCN FIA plot"
"19","Basic11",-155.478432,67.989785,2012-08-01,"ARCN FIA plot"
"20","Basic17",-155.330103,67.970933,2012-08-02,"ARCN FIA plot"
"21","Basic18",-153.019989,67.370025,2012-08-20,"ARCN FIA plot"
"22","Basic23",-153.725544,67.366313,2012-07-09,"ARCN FIA plot"
"23","Basic3",-153.761812,67.385541,2012-07-11,"ARCN FIA plot"
"24","Basic32",-153.707325,67.374366,2012-07-09,"ARCN FIA plot"
"25","Basic34",-153.761022,67.330364,2012-07-12,"ARCN FIA plot"
"26","Basic6",-153.744984,67.32815,2012-07-12,"ARCN FIA plot"
"27","Decid11",-155.727116,66.87743,2012-06-30,"ARCN FIA plot"
"28","Decid4",-152.944047,67.385887,2012-08-19,"ARCN FIA plot"
"29","Decid8",-154.5061,67.218417,2012-07-05,"ARCN FIA plot"
"30","Dwarf101",-153.022061,67.375546,2012-08-18,"ARCN FIA plot"
"31","Dwarf107",-154.610084,68.338215,2012-08-12,"ARCN FIA plot"
"32","Dwarf123",-150.484076,67.793528,2012-07-20,"ARCN FIA plot"
"33","Dwarf14",-150.394067,68.105606,2012-07-24,"ARCN FIA plot"
"34","Dwarf17",-150.525726,68.049523,2012-07-23,"ARCN FIA plot"
"35","Dwarf18",-154.508255,68.346267,2012-08-13,"ARCN FIA plot"
"36","Dwarf19",-153.284523,67.897029,2012-08-07,"ARCN FIA plot"
"37","Dwarf2",-153.776619,67.377746,2012-07-11,"ARCN FIA plot"
"38","Dwarf20",-150.474741,68.081023,2012-07-22,"ARCN FIA plot"
"39","Dwarf29",-154.539214,68.331212,2012-08-13,"ARCN FIA plot"
"40","Dwarf39",-153.211098,67.887088,2012-08-10,"ARCN FIA plot"
"41","Dwarf68",-155.438449,68.000771,2012-08-05,"ARCN FIA plot"
"42","Dwarf83",-155.335227,67.974048,2012-08-02,"ARCN FIA plot"
"43","Dwarf88",-155.421589,68.003628,2012-08-05,"ARCN FIA plot"
"44","Lowrc88",-155.530473,67.962247,2012-08-04,"ARCN FIA plot"
"45","Loweric6",-150.446115,68.068224,2012-07-25,"ARCN FIA plot"
"46","Lowrc149",-150.357429,68.098016,2012-07-24,"ARCN FIA plot"
"47","Lowrc34",-153.25538,67.880026,2012-08-10,"ARCN FIA plot"
"48","Lowrc39",-153.307206,67.873168,2012-08-07,"ARCN FIA plot"
"49","Lowrc43",-155.65645,66.858521,2012-06-29,"ARCN FIA plot"
"50","Lowrc45",-153.020887,67.402601,2012-08-21,"ARCN FIA plot"
"51","Lowrc48",-153.298367,67.893428,2012-08-07,"ARCN FIA plot"
"52","Lowrc60",-155.647037,66.847237,2012-06-29,"ARCN FIA plot"
"53","Mafic10",-155.603398,66.900249,2012-06-28,"ARCN FIA plot"
"54","Mafic11",-150.4739,67.784572,2012-07-20,"ARCN FIA plot"
"55","Mafic19",-155.609752,66.906265,2012-06-28,"ARCN FIA plot"
"56","Mafic2",-150.434606,67.790564,2012-07-21,"ARCN FIA plot"
"57","Mafic31",-150.509053,67.773623,2012-07-18,"ARCN FIA plot"
"58","Mafic7",-150.422917,67.787351,2012-07-21,"ARCN FIA plot"
"59","Mafic8",-155.571465,66.89945,2012-07-01,"ARCN FIA plot"
"60","Needl101",-155.646519,66.928753,2012-06-27,"ARCN FIA plot"
"61","Needl200",-155.611889,66.928066,2012-06-27,"ARCN FIA plot"
"62","Needle21",-155.736097,66.872879,2012-06-30,"ARCN FIA plot"
"63","Needle36",-153.63361,67.347471,2012-07-08,"ARCN FIA plot"
"64","Needle4",-154.552603,67.240617,2012-07-04,"ARCN FIA plot"
"65","Needle6",-153.720806,67.354598,2012-07-10,"ARCN FIA plot"
"66","Needle60",-154.522258,67.200937,2012-07-07,"ARCN FIA plot"
"67","Needle65",-150.486301,67.747529,2012-07-17,"ARCN FIA plot"
"68","Needle7",-154.570709,67.196974,2012-07-02,"ARCN FIA plot"
"69","Needle84",-154.477268,67.182222,2012-07-07,"ARCN FIA plot"
"70","Tusck10",-153.349552,67.844114,2012-08-09,"ARCN FIA plot"
"71","Tusck14",-155.358875,67.954549,2012-08-03,"ARCN FIA plot"
"72","Tusck27",-155.493491,67.97843,2012-08-01,"ARCN FIA plot"
"73","Tusck44",-153.364462,67.872203,2012-08-09,"ARCN FIA plot"
"74","Tusck48",-155.529066,67.955763,2012-08-04,"ARCN FIA plot"
"75","Tusck53",-153.218346,67.908096,2012-08-08,"ARCN FIA plot"
"76","Tusck55",-155.70577,66.892562,2012-06-26,"ARCN FIA plot"
"77","Tusck59",-150.531254,67.784357,2012-07-18,"ARCN FIA plot"
"78","Tusck73",-155.390745,67.951109,2012-08-03,"ARCN FIA plot"
"79","Tussock5",-153.232171,67.881193,2012-08-08,"ARCN FIA plot"
"80","1L",-163.506802,65.369902,2003-06-13,"ARCN FIA plot"
"81","1M",-163.42405,65.430102,2003-06-19,"ARCN FIA plot"
"82","1P",-163.853338,65.354362,2003-06-19,"ARCN FIA plot"
"83","1S",-163.673024,65.334427,2003-07-12,"ARCN FIA plot"
"84","1S-b",-163.71419,65.307616,2003-07-12,"ARCN FIA plot"
"85","2L",-163.339153,65.364715,2003-06-13,"ARCN FIA plot"
"86","2M",-162.923706,65.44355,2003-06-19,"ARCN FIA plot"
"87","2P",-163.102319,65.369731,2003-07-11,"ARCN FIA plot"
"88","2S",-162.874745,65.279474,2003-06-13,"ARCN FIA plot"
"89","2S-b",-163.097658,65.448754,2003-07-11,"ARCN FIA plot"
"90","3L",-163.643857,65.484256,2003-07-14,"ARCN FIA plot"
"91","3M",-163.964301,65.530116,2003-07-03,"ARCN FIA plot"
"92","3P",-164.080623,65.536773,2003-07-03,"ARCN FIA plot"
"93","3S-b",-163.687406,65.487544,2003-07-14,"ARCN FIA plot"
"94","3S-c",-163.85653,65.562935,2003-07-03,"ARCN FIA plot"
"95","4L",-163.155502,65.509785,2003-06-19,"ARCN FIA plot"
"96","4M",-163.312513,65.573739,2003-07-29,"ARCN FIA plot"
"97","4P",-163.496931,65.498911,2003-07-06,"ARCN FIA plot"
"98","4S",-163.43965,65.504791,2003-07-29,"ARCN FIA plot"
"99","5L",-162.74411,65.797259,2003-07-09,"ARCN FIA plot"
"100","5M",-162.740055,65.821323,2003-07-09,"ARCN FIA plot"
