"","plot","long","lat","samp_date","src_data"
"77","Tusck59",-150.531254,67.784357,"7/18/12 0:00","ARCN FIA plot"
"78","Tusck73",-155.390745,67.951109,"8/3/12 0:00","ARCN FIA plot"
"79","Tussock5",-153.232171,67.881193,"8/8/12 0:00","ARCN FIA plot"
"80","1L",-163.506802,65.369902,"6/13/03 0:00","ARCN FIA plot"
"81","1M",-163.42405,65.430102,"6/19/03 0:00","ARCN FIA plot"
"82","1P",-163.853338,65.354362,"6/19/03 0:00","ARCN FIA plot"
"83","1S",-163.673024,65.334427,"7/12/03 0:00","ARCN FIA plot"
"84","1S-b",-163.71419,65.307616,"7/12/03 0:00","ARCN FIA plot"
"85","2L",-163.339153,65.364715,"6/13/03 0:00","ARCN FIA plot"
"86","2M",-162.923706,65.44355,"6/19/03 0:00","ARCN FIA plot"
"87","2P",-163.102319,65.369731,"7/11/03 0:00","ARCN FIA plot"
"88","2S",-162.874745,65.279474,"6/13/03 0:00","ARCN FIA plot"
"89","2S-b",-163.097658,65.448754,"7/11/03 0:00","ARCN FIA plot"
"90","3L",-163.643857,65.484256,"7/14/03 0:00","ARCN FIA plot"
"91","3M",-163.964301,65.530116,"7/3/03 0:00","ARCN FIA plot"
"92","3P",-164.080623,65.536773,"7/3/03 0:00","ARCN FIA plot"
"93","3S-b",-163.687406,65.487544,"7/14/03 0:00","ARCN FIA plot"
"94","3S-c",-163.85653,65.562935,"7/3/03 0:00","ARCN FIA plot"
"95","4L",-163.155502,65.509785,"6/19/03 0:00","ARCN FIA plot"
"96","4M",-163.312513,65.573739,"7/29/03 0:00","ARCN FIA plot"
"97","4P",-163.496931,65.498911,"7/6/03 0:00","ARCN FIA plot"
"98","4S",-163.43965,65.504791,"7/29/03 0:00","ARCN FIA plot"
"99","5L",-162.74411,65.797259,"7/9/03 0:00","ARCN FIA plot"
"100","5M",-162.740055,65.821323,"7/9/03 0:00","ARCN FIA plot"
"101","5P",-162.944943,65.622105,"7/30/03 0:00","ARCN FIA plot"
"102","5S",-162.969722,65.800391,"6/14/03 0:00","ARCN FIA plot"
"103","5S-b",-163.254926,65.770211,"7/9/03 0:00","ARCN FIA plot"
"104","6L",-163.232321,65.660943,"7/30/03 0:00","ARCN FIA plot"
"105","6L-b",-163.284468,65.767679,"7/9/03 0:00","ARCN FIA plot"
"106","6M",-163.45857,65.653004,"7/24/03 0:00","ARCN FIA plot"
"107","6P",-163.43405,65.61622,"7/30/03 0:00","ARCN FIA plot"
"108","6S",-163.242411,65.758876,"6/14/03 0:00","ARCN FIA plot"
"109","7L",-163.599955,65.688141,"7/24/03 0:00","ARCN FIA plot"
"110","7M",-163.877907,65.63506,"7/24/03 0:00","ARCN FIA plot"
"111","7P",-163.631691,65.680561,"7/24/03 0:00","ARCN FIA plot"
"112","7S",-163.578143,65.524049,"7/6/03 0:00","ARCN FIA plot"
