system:index,blue_p010,blue_p025,blue_p050,blue_p075,blue_p090,evi_p010,evi_p025,evi_p050,evi_p075,evi_p090,green_p010,green_p025,green_p050,green_p075,green_p090,latitude_209564535,lich_vol,longitude_209564535,nbr_p010,nbr_p025,nbr_p050,nbr_p075,nbr_p090,ndmi_p010,ndmi_p025,ndmi_p050,ndmi_p075,ndmi_p090,ndsi_p010,ndsi_p025,ndsi_p050,ndsi_p075,ndsi_p090,ndvi_p010,ndvi_p025,ndvi_p050,ndvi_p075,ndvi_p090,ndwi_p010,ndwi_p025,ndwi_p050,ndwi_p075,ndwi_p090,nir_p010,nir_p025,nir_p050,nir_p075,nir_p090,randSel,red_p010,red_p025,red_p050,red_p075,red_p090,swir1_p010,swir1_p025,swir1_p050,swir1_p075,swir1_p090,swir2_p010,swir2_p025,swir2_p050,swir2_p075,swir2_p090,topo_elev_m_30m,topo_slope_deg_30m,.geo
000000000000000000f5_0,480.5,510.0,579.5,668.0,894.5,1645.2098472882926,2100.0748414576797,2956.693788303397,3389.21742015587,3827.356480977205,651.0,679.5,751.5,850.0,1055.0,,1.672731958762886,,428.45053,1252.8647,2230.5476,2743.5703,3193.7544,-1906.8031,-1333.8696,-540.23517,-153.04413,269.29282,-5943.029,-5788.849,-5581.8335,-5303.774,-3680.9011,2909.701,3660.0498,4742.0464,5417.8174,5681.8184,-5676.6934,-5422.891,-4997.1343,-4293.583,-3360.7644,1859.5,1983.5,2346.0,2530.0,2869.0,0.5783689698193706,657.5,727.5,800.0,973.0,1199.0,2366.0,2580.0,2684.0,2891.0,3118.0,1271.5,1462.5,1551.0,1676.0,1849.5,744.8481,0.93912363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.49365952584756,67.978526905526]}"
00000000000000000033_0,462.7,499.6666666666667,557.9090909090909,657.6666666666666,890.0,2398.9723497438667,2906.7644952361975,3393.866904368141,3758.311955798502,4191.933951925185,656.4,750.2631578947369,822.8888888888889,873.3333333333334,1047.3333333333333,,218.86941479400002,,2723.6675,3163.7869,3794.0527,4246.799,4630.125,-193.66853,170.3619,535.596,938.66486,1293.7223,-5613.999,-5423.0034,-5258.947,-4874.6274,-4042.5532,3672.1729,4394.869,5191.5356,5686.114,5847.855,-6129.7886,-5895.6074,-5477.496,-5146.76,-4106.3335,2516.0,2668.0,2781.166666666667,2958.5,3229.0,0.3841501883080829,748.875,819.4285714285714,873.9166666666666,1041.375,1239.0,2290.0,2446.5,2569.75,2706.0,2837.5,1096.5,1223.6666666666667,1303.0,1433.2,1496.0,27.851257,1.3838874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-165.08146838478362,66.17668610863906]}"
0000000000000000015d_0,461.875,461.875,461.875,697.25,697.25,851.1015559200315,1060.0627521290903,1311.3110334093192,1593.1761045407313,1721.7494369334022,526.6666666666666,561.1,622.375,743.25,787.375,,209.4817750891667,,83.857445,246.76695,556.12787,1057.9651,1663.6198,-1617.9498,-1499.2561,-1224.0262,-780.0942,66.0066,-4771.2417,-4588.77,-4386.2124,-3867.5312,-3246.6406,2124.1514,2777.545,3109.3997,3507.629,3704.0735,-3814.247,-3558.3987,-3311.8635,-2938.803,-2441.8604,1042.0,1138.5,1266.2,1427.0,1588.5,0.06346106990258749,526.0,625.6923076923077,653.25,738.5,843.6666666666666,1417.4,1489.6666666666667,1614.2,1710.6,1878.0,945.2,1040.0,1135.0,1194.5714285714287,1292.5,967.3622,37.879295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-160.13839870238755,67.48050091201013]}"
000000000000000000f7_0,458.65384615384613,458.65384615384613,561.1428571428571,695.125,967.25,1753.945330486835,2097.57597132692,2596.4221424513353,3185.0653194932306,3445.8979395661804,588.36,588.36,691.7142857142857,691.7142857142857,984.6666666666666,,28.70877756964285,,810.0407,1553.1278,2249.3867,2775.1096,3216.6943,-1608.6498,-1106.9854,-604.6787,-85.54705,405.0405,-6129.301,-5912.0786,-5689.815,-5161.9224,-3990.4307,3078.12,4053.3333,4743.5903,5435.103,5749.359,-5748.663,-5458.0444,-5008.898,-4492.8936,-3392.2932,1588.5,1749.1818181818182,2100.235294117647,2240.6666666666665,2532.0,0.10411473149878347,595.2142857142857,595.2142857142857,691.48,807.4285714285714,1096.25,2046.0,2166.0,2349.5,2544.0,2662.0,1133.6666666666667,1231.0,1341.2380952380952,1466.0,1613.8,847.4635,5.586323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.39044309970222,67.95103845783194]}"
0000000000000000002c_0,243.0,300.0,348.5,458.0,778.0,3128.7850010111556,3531.1367246365,4036.6613529976066,4405.122285055322,4730.865412208421,419.6666666666667,452.14285714285717,508.5,605.0,906.0,,2.928876644,,4391.0615,4908.4683,5492.517,5776.0674,6034.67,1296.5408,2017.3914,2277.0781,2502.3503,2664.6074,-5539.2856,-5347.816,-4957.8994,-4212.667,-3175.999,5476.575,6246.3354,6893.9854,7378.706,7669.237,-6956.3745,-6732.2305,-6437.1323,-5869.5967,-5021.9243,1939.5,2139.0,2408.3333333333335,2580.5,2821.0,0.8352984742511107,307.25,363.5,427.0,537.0,755.5,1307.75,1445.3333333333333,1523.6666666666667,1611.0,1728.0,571.0,646.25,698.3333333333333,790.0,883.0,266.9797,10.655084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.73620465255982,66.87279062230328]}"
00000000000000000037_0,462.375,462.375,566.8285714285714,698.7777777777778,842.0,2042.5093887775436,2447.680918881582,3036.8988549357446,3360.8787904296655,3904.663442011594,624.75,688.25,776.5,879.3636363636364,1062.0,,56.483767004,,1990.61,2438.1301,2960.3618,3457.7007,3788.883,-611.3342,-311.6797,39.793972,407.43884,765.37976,-5677.319,-5492.2026,-5287.69,-4651.37,-3922.1018,3099.5725,4149.372,4827.294,5287.518,5542.199,-5855.2124,-5600.907,-5284.169,-4587.177,-3762.4646,2124.0,2353.8,2440.5,2600.25,3019.0,0.519090051638,712.5714285714286,830.5333333333333,830.5333333333333,1073.857142857143,1212.3333333333333,2134.0,2249.0,2510.0,2662.0,2865.0,1128.4,1227.7142857142858,1365.0,1489.8,1608.0,38.856087,0.26275697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-164.90414094769844,66.06026444781718]}"
00000000000000000053_0,361.2,428.85714285714283,556.8333333333334,641.0,880.0,2660.389343496619,3055.8841775109813,3737.2634643377,4434.781257159881,4969.156956819739,590.6666666666666,623.2857142857143,719.2,816.6,1042.0,,100.511258177,,2677.5918,3444.692,4253.961,4645.5054,5011.9873,-222.78015,272.24707,906.9122,1354.2261,1846.5228,-5984.1743,-5647.3887,-5392.657,-4854.7944,-3801.6528,4214.325,5135.987,5706.35,6061.9956,6511.342,-6505.613,-6124.1294,-5858.429,-5345.498,-4551.2686,2252.0,2517.0,2801.0,3119.0,3408.5,0.4551010317442319,599.0,693.5,745.2222222222222,873.75,1042.0,2104.0,2278.0,2423.5,2535.0,2754.0,1012.5,1094.2,1209.1666666666667,1335.5,1433.5,254.48813,0.8691865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.79624870779384,65.75411859898924]}"
00000000000000000070_0,436.25,467.90909090909093,561.6666666666666,752.0,1098.0,1119.894598155468,1482.377766891992,1668.1805366195686,1955.7956741476137,2060.9152044702423,561.8333333333334,621.6,693.1428571428571,873.0,1214.0,,549.104845725,,-231.42969,428.1135,788.05096,1233.3513,1835.1077,-2071.6611,-1561.8572,-1209.6333,-806.023,-256.28625,-5334.3105,-5107.464,-4795.44,-4076.2192,-2745.5356,2037.3832,2762.7231,3539.9155,3917.1375,4136.679,-4243.3765,-4011.962,-3603.1597,-3033.9321,-2233.677,1259.25,1322.75,1480.5,1708.0,2015.0,0.45603987772144805,595.8571428571429,653.7272727272727,683.0,851.5,1207.0,1749.0,1876.4,1931.5,2061.0,2283.0,1191.0,1227.5,1284.4,1389.5,1496.0,248.09198,1.7736944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.60652451978777,65.52397022319782]}"
0000000000000000007a_0,701.0,722.0,825.0,962.0,6063.0,585.3386602248445,905.7446544522106,1087.7431989441868,1179.7362942401112,1256.846843021528,795.0,875.0,947.0,1138.0,6308.0,,553.2636276000001,,-2694.1917,-2606.0283,-2388.6838,-1914.0515,3682.4983,-3763.1992,-3594.3728,-3449.1526,-3124.14,187.43834,-5653.56,-5504.2944,-5352.3164,-4767.307,626.66876,-393.79846,1635.323,1990.6505,2154.195,2262.0906,-2709.4475,-2449.7334,-2217.7651,-1557.8635,0.0,1366.0,1425.0,1543.0,1619.0,4486.0,0.8788822125811379,858.0,925.0,1003.0,1179.0,6756.0,2384.0,2984.0,3093.0,3213.0,3444.0,1880.0,2372.0,2494.0,2567.0,2758.0,724.36206,13.157517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.8745772262872,65.2795386343889]}"
00000000000000000028_0,561.0,595.0,681.0,797.0,1085.0,1070.1965836831382,1196.1899159761883,1387.6468260396575,1715.1084739439298,2137.8001028358976,753.0,776.0,853.5,967.5,1186.0,,1.098817292311476,,-2738.507,-2401.302,-2101.4656,-1738.6217,-962.24115,-3772.7852,-3600.9124,-3302.2546,-3031.0322,-2359.375,-6210.9956,-6092.4604,-5834.498,-5469.0635,-4851.064,1727.6423,2384.9712,2733.5454,3132.7458,3360.8247,-3730.7974,-3368.289,-3154.113,-2716.439,-2330.5916,1437.0,1510.5,1636.0,1801.0,1956.0,0.5073268507092997,814.0,861.0,923.0,1023.0,1223.0,2961.0,3110.5,3275.0,3408.0,3591.0,2321.0,2413.0,2515.5,2649.5,2747.0,1032.3636,29.429058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-155.5715434609807,66.89947058624163]}"
